kmeans;friends;followers;photos;videos
4;324;1176;342;115
0;237;22;5;11
0;8;2;9;0
0;334;279;30;43
0;375;115;199;149
4;70;16;27;0
4;68;8;5;2
0;0;1;0;0
0;222;342;33;7
0;20;23;19;0
4;300;256;146;801
3;96;37;5;2
0;6;15;1;0
4;345;205;247;991
0;33;48;1;24
0;116;33;21;1
0;103;25;15;0
0;104;43;23;37
4;221;89;31;90
4;70;13;133;1
0;36;18;78;5
3;293;190;42;433
0;159;168;104;13
0;1;4;1;0
0;269;34;4;1
0;283;223;3;31
0;5;2;1;0
0;514;130;397;3
3;76;83;18;50
0;39;5;1;0
0;109;22;12;2
0;133;47;15;7
0;2;1;3;0
0;78;49;51;560
0;210;858;329;70
0;224;74;119;3
3;0;0;0;0
0;0;0;0;0
0;101;80;6;5
0;68;14;11;8
0;103;78;46;0
4;627;5;24;6
0;56;30;5;16
0;34;11;1;2
0;538;872;67;514
3;74;115;46;3
0;17;8;55;12
3;44;7;4;2
4;70;22;40;8
4;29;42;24;4
3;0;0;0;0
0;120;24;432;31
3;11;25;3;1
4;78;1;68;37
3;0;0;1;0
0;518;213;5911;730
4;193;37;29;0
0;128;25;8;2
3;0;0;0;0
0;303;68;1083;319
3;8;8;2;0
0;125;83;44;7
3;2;0;0;0
0;101;51;29;2
0;365;100;72;78
0;154;26;18;45
4;0;11;1;0
0;520;376;34;271
0;58;40;47;0
0;211;299;51;3
0;96;181;72;282
0;240;115;720;136
0;15;1;16;2
0;220;128;67;0
0;56;400;11;185
4;173;159;65;30
3;10;11;1;0
0;0;0;1;0
0;439;149;77;4
0;50;30;611;219
0;81;126;297;5
0;42;73;65;33
0;0;2;0;0
0;14;13;4;4
4;20;3;1;2
0;61;45;17;41
0;96;14;1;17
0;64;62;16;0
0;76;7;62;6
3;82;54;239;3
0;0;0;0;0
4;159;89;10;79
0;13;1;2;0
0;1;9;3;0
0;8;2;0;0
3;0;6;1;0
4;367;148;93;2
0;106;87;86;30
0;83;40;2;0
0;22;9;1;0
0;100;63;8;24
0;626;260;102;59
0;208;95;111;7
0;315;300;60;7
0;66;612;507;165
